"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"T1";"Transfotype4";1;"TRANSFO";;;
2;"CONN_3";"gmkds_3-2-7,62";1;"SALIDA";;;
3;"C1";"Elko_vert_11.5x8mm_RM3.5";1;" ";;;
4;"C3";"Elko_vert_11x5mm_RM2";1;" ";;;
5;"C4,C5";"C_Disc_D3_P2.5";2;"C";;;
6;"CONN_4";"gmkds_3-2-7,62";1;"ENTRADA";;;
7;"CONN_1";"gmkds_3-2-7,62";1;"AMPERIMETRO";;;
8;"CONN_2";"gmkds_3-2-7,62";1;"VOLTIMETRO";;;
9;"D1";"Diode_DO-201AD_Horizontal_RM15";1;"D";;;
10;"D2";"KBU";1;"Diode_Bridge";;;
11;"D6";"Diode_DO-41_SOD81_Horizontal_RM10";1;"D";;;
12;"D7";"Diode_DO-41_SOD81_Vertical_KathodeUp";1;"ZENER";;;
13;"P1,P2";"Pin_Header_Straight_1x03";2;"POT";;;
14;"Q2";"TO-220_Neutral123_Vertical_MountedFromLS_LargePads";1;"BD137";;;
15;"Q3";"to225";1;"BD139";;;
16;"Q4,Q5";"to92_3";2;"BC167";;;
17;"R1,R3,R5,R8,R9,R10,R11";"Resistor_Horizontal_RM10mm";7;"R";;;
18;"R2";"Resistor_Ceramic_Horizontal_L36mm-W11mm-H10mm-p45mm";1;"R";;;
19;"R4";"trimmer_piher_pt6xv";1;"RVAR";;;
20;"Q1-CONN1";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
21;"C2";"CP_22x25mm";1;" ";;;
